call_id,caller_phone_id,receiver_phone_id,caller_person_id,receiver_person_id,timestamp,duration_seconds,location_id,source,synthetic_status
CALL0001,PH015,PH022,P075,P082,2026-05-01 19:47:00,705,L001,SYNTHETIC_CDR,SYNTHETIC
CALL0002,PH006,PH009,P066,P069,2026-05-08 19:33:00,421,L002,SYNTHETIC_CDR,SYNTHETIC
CALL0003,PH055,PH049,P055,P049,2026-05-04 11:06:00,404,L003,SYNTHETIC_CDR,SYNTHETIC
CALL0004,PH008,PH006,P068,P066,2026-05-24 16:04:00,692,L004,SYNTHETIC_CDR,SYNTHETIC
CALL0005,PH056,PH055,P056,P055,2026-05-16 09:33:00,718,L005,SYNTHETIC_CDR,SYNTHETIC
CALL0006,PH032,PH025,P032,P025,2026-05-10 14:58:00,204,L006,SYNTHETIC_CDR,SYNTHETIC
CALL0007,PH029,PH036,P029,P036,2026-05-24 08:14:00,742,L007,SYNTHETIC_CDR,SYNTHETIC
CALL0008,PH011,PH004,P011,P004,2026-05-26 12:26:00,600,L008,SYNTHETIC_CDR,SYNTHETIC
CALL0009,PH019,PH022,P019,P022,2026-05-28 17:24:00,374,L001,SYNTHETIC_CDR,SYNTHETIC
CALL0010,PH046,PH040,P046,P040,2026-05-05 13:01:00,108,L002,SYNTHETIC_CDR,SYNTHETIC
CALL0011,PH010,PH009,P010,P009,2026-05-20 14:43:00,157,L003,SYNTHETIC_CDR,SYNTHETIC
CALL0012,PH033,PH040,P093,P100,2026-05-05 15:41:00,453,L004,SYNTHETIC_CDR,SYNTHETIC
CALL0013,PH038,PH041,P038,P041,2026-05-07 12:41:00,572,L005,SYNTHETIC_CDR,SYNTHETIC
CALL0014,PH053,PH060,P053,P060,2026-05-03 13:07:00,314,L006,SYNTHETIC_CDR,SYNTHETIC
CALL0015,PH030,PH039,P090,P099,2026-05-14 18:27:00,250,L007,SYNTHETIC_CDR,SYNTHETIC
CALL0016,PH024,PH016,P084,P076,2026-05-22 11:43:00,713,L008,SYNTHETIC_CDR,SYNTHETIC
CALL0017,PH045,PH040,P045,P040,2026-05-03 09:26:00,813,L001,SYNTHETIC_CDR,SYNTHETIC
CALL0018,PH018,PH021,P018,P021,2026-05-06 18:18:00,730,L002,SYNTHETIC_CDR,SYNTHETIC
CALL0019,PH055,PH051,P055,P051,2026-05-13 20:01:00,686,L003,SYNTHETIC_CDR,SYNTHETIC
CALL0020,PH045,PH044,P045,P044,2026-05-13 12:37:00,139,L004,SYNTHETIC_CDR,SYNTHETIC
CALL0021,PH050,PH056,P050,P056,2026-05-18 09:45:00,382,L005,SYNTHETIC_CDR,SYNTHETIC
CALL0022,PH013,PH015,P073,P075,2026-05-14 10:19:00,599,L006,SYNTHETIC_CDR,SYNTHETIC
CALL0023,PH021,PH014,P021,P014,2026-05-05 16:47:00,165,L007,SYNTHETIC_CDR,SYNTHETIC
CALL0024,PH036,PH031,P036,P031,2026-05-13 13:36:00,537,L008,SYNTHETIC_CDR,SYNTHETIC
CALL0025,PH025,PH026,P025,P026,2026-05-27 14:28:00,428,L001,SYNTHETIC_CDR,SYNTHETIC
CALL0026,PH013,PH016,P073,P076,2026-05-14 18:29:00,405,L002,SYNTHETIC_CDR,SYNTHETIC
CALL0027,PH027,PH034,P087,P094,2026-05-16 15:48:00,251,L003,SYNTHETIC_CDR,SYNTHETIC
CALL0028,PH030,PH033,P090,P093,2026-05-15 20:26:00,266,L004,SYNTHETIC_CDR,SYNTHETIC
CALL0029,PH005,PH010,P005,P010,2026-05-01 21:32:00,139,L005,SYNTHETIC_CDR,SYNTHETIC
CALL0030,PH031,PH028,P031,P028,2026-05-04 17:40:00,120,L006,SYNTHETIC_CDR,SYNTHETIC
CALL0031,PH027,PH032,P027,P032,2026-05-21 18:56:00,695,L007,SYNTHETIC_CDR,SYNTHETIC
CALL0032,PH026,PH032,P026,P032,2026-05-26 22:13:00,224,L008,SYNTHETIC_CDR,SYNTHETIC
CALL0033,PH002,PH007,P002,P007,2026-05-16 13:18:00,749,L001,SYNTHETIC_CDR,SYNTHETIC
CALL0034,PH046,PH048,P046,P048,2026-05-09 11:57:00,576,L002,SYNTHETIC_CDR,SYNTHETIC
CALL0035,PH032,PH031,P032,P031,2026-05-26 11:59:00,843,L003,SYNTHETIC_CDR,SYNTHETIC
CALL0036,PH014,PH019,P014,P019,2026-05-02 12:26:00,872,L004,SYNTHETIC_CDR,SYNTHETIC
CALL0037,PH027,PH039,P087,P099,2026-05-03 19:50:00,803,L005,SYNTHETIC_CDR,SYNTHETIC
CALL0038,PH023,PH014,P023,P014,2026-05-15 15:18:00,34,L006,SYNTHETIC_CDR,SYNTHETIC
CALL0039,PH017,PH020,P077,P080,2026-05-12 13:53:00,98,L007,SYNTHETIC_CDR,SYNTHETIC
CALL0040,PH009,PH005,P069,P065,2026-05-08 08:56:00,853,L008,SYNTHETIC_CDR,SYNTHETIC
CALL0041,PH013,PH014,P013,P014,2026-05-02 20:53:00,150,L001,SYNTHETIC_CDR,SYNTHETIC
CALL0042,PH003,PH005,P063,P065,2026-05-17 18:52:00,54,L002,SYNTHETIC_CDR,SYNTHETIC
CALL0043,PH016,PH024,P016,P024,2026-05-22 12:58:00,456,L003,SYNTHETIC_CDR,SYNTHETIC
CALL0044,PH054,PH050,P054,P050,2026-05-27 08:10:00,218,L004,SYNTHETIC_CDR,SYNTHETIC
CALL0045,PH026,PH025,P026,P025,2026-05-19 22:07:00,277,L005,SYNTHETIC_CDR,SYNTHETIC
CALL0046,PH060,PH057,P060,P057,2026-05-22 16:25:00,191,L006,SYNTHETIC_CDR,SYNTHETIC
CALL0047,PH022,PH013,P082,P073,2026-05-21 09:44:00,745,L007,SYNTHETIC_CDR,SYNTHETIC
CALL0048,PH018,PH014,P018,P014,2026-05-16 21:04:00,366,L008,SYNTHETIC_CDR,SYNTHETIC
CALL0049,PH029,PH027,P089,P087,2026-05-14 15:39:00,292,L001,SYNTHETIC_CDR,SYNTHETIC
CALL0050,PH033,PH029,P093,P089,2026-05-27 21:29:00,37,L002,SYNTHETIC_CDR,SYNTHETIC
