case_id,primary_person_id,crime_type,date,location_id,description,source,synthetic_status
CASE001,P006,Cyber Fraud,2026-04-11,L001,Synthetic case involving cyber fraud and linked entities.,SYNTHETIC_FIR_CASE_RECORD,SYNTHETIC
CASE002,P096,Identity Theft,2026-04-02,L002,Synthetic case involving identity theft and linked entities.,SYNTHETIC_FIR_CASE_RECORD,SYNTHETIC
CASE003,P037,Extortion,2026-04-04,L003,Synthetic case involving extortion and linked entities.,SYNTHETIC_FIR_CASE_RECORD,SYNTHETIC
CASE004,P094,Robbery,2026-04-19,L004,Synthetic case involving robbery and linked entities.,SYNTHETIC_FIR_CASE_RECORD,SYNTHETIC
CASE005,P077,Illegal Gambling,2026-04-20,L005,Synthetic case involving illegal gambling and linked entities.,SYNTHETIC_FIR_CASE_RECORD,SYNTHETIC
CASE006,P066,Financial Fraud,2026-04-22,L006,Synthetic case involving financial fraud and linked entities.,SYNTHETIC_FIR_CASE_RECORD,SYNTHETIC
CASE007,P001,Data Theft,2026-04-25,L007,Synthetic case involving data theft and linked entities.,SYNTHETIC_FIR_CASE_RECORD,SYNTHETIC
CASE008,P020,Document Fraud,2026-04-21,L008,Synthetic case involving document fraud and linked entities.,SYNTHETIC_FIR_CASE_RECORD,SYNTHETIC
CASE009,P040,Cyber Fraud,2026-04-23,L001,Synthetic case involving cyber fraud and linked entities.,SYNTHETIC_FIR_CASE_RECORD,SYNTHETIC
CASE010,P039,Identity Theft,2026-04-02,L002,Synthetic case involving identity theft and linked entities.,SYNTHETIC_FIR_CASE_RECORD,SYNTHETIC
CASE011,P091,Extortion,2026-04-07,L003,Synthetic case involving extortion and linked entities.,SYNTHETIC_FIR_CASE_RECORD,SYNTHETIC
CASE012,P011,Robbery,2026-04-18,L004,Synthetic case involving robbery and linked entities.,SYNTHETIC_FIR_CASE_RECORD,SYNTHETIC
CASE013,P024,Illegal Gambling,2026-04-25,L005,Synthetic case involving illegal gambling and linked entities.,SYNTHETIC_FIR_CASE_RECORD,SYNTHETIC
