file,field,description,synthetic
persons.csv,person_id,Field from persons.csv,True
persons.csv,name,Field from persons.csv,True
persons.csv,alias,Field from persons.csv,True
persons.csv,age,Field from persons.csv,True
persons.csv,city,Field from persons.csv,True
persons.csv,occupation,Field from persons.csv,True
persons.csv,community_id,Field from persons.csv,True
persons.csv,is_bridge_candidate,Field from persons.csv,True
persons.csv,synthetic_status,Field from persons.csv,True
phones.csv,phone_id,Field from phones.csv,True
phones.csv,phone_token,Field from phones.csv,True
phones.csv,person_id,Field from phones.csv,True
phones.csv,device_id,Field from phones.csv,True
phones.csv,provider,Field from phones.csv,True
phones.csv,synthetic_status,Field from phones.csv,True
accounts.csv,account_id,Field from accounts.csv,True
accounts.csv,account_token,Field from accounts.csv,True
accounts.csv,person_id,Field from accounts.csv,True
accounts.csv,bank,Field from accounts.csv,True
accounts.csv,account_type,Field from accounts.csv,True
accounts.csv,synthetic_status,Field from accounts.csv,True
calls.csv,call_id,Field from calls.csv,True
calls.csv,caller_phone_id,Field from calls.csv,True
calls.csv,receiver_phone_id,Field from calls.csv,True
calls.csv,caller_person_id,Field from calls.csv,True
calls.csv,receiver_person_id,Field from calls.csv,True
calls.csv,timestamp,Field from calls.csv,True
calls.csv,duration_seconds,Field from calls.csv,True
calls.csv,location_id,Field from calls.csv,True
calls.csv,source,Field from calls.csv,True
calls.csv,synthetic_status,Field from calls.csv,True
transactions.csv,transaction_id,Field from transactions.csv,True
transactions.csv,sender_account_id,Field from transactions.csv,True
transactions.csv,receiver_account_id,Field from transactions.csv,True
transactions.csv,amount_inr,Field from transactions.csv,True
transactions.csv,timestamp,Field from transactions.csv,True
transactions.csv,transaction_type,Field from transactions.csv,True
transactions.csv,source,Field from transactions.csv,True
transactions.csv,synthetic_status,Field from transactions.csv,True
vehicles.csv,vehicle_id,Field from vehicles.csv,True
vehicles.csv,registration_token,Field from vehicles.csv,True
vehicles.csv,owner_person_id,Field from vehicles.csv,True
vehicles.csv,vehicle_type,Field from vehicles.csv,True
vehicles.csv,color,Field from vehicles.csv,True
vehicles.csv,synthetic_status,Field from vehicles.csv,True
case_records.csv,case_id,Field from case_records.csv,True
case_records.csv,primary_person_id,Field from case_records.csv,True
case_records.csv,crime_type,Field from case_records.csv,True
case_records.csv,date,Field from case_records.csv,True
case_records.csv,location_id,Field from case_records.csv,True
case_records.csv,description,Field from case_records.csv,True
case_records.csv,source,Field from case_records.csv,True
case_records.csv,synthetic_status,Field from case_records.csv,True
events.csv,event_id,Field from events.csv,True
events.csv,event_type,Field from events.csv,True
events.csv,date,Field from events.csv,True
events.csv,location_id,Field from events.csv,True
events.csv,location_name,Field from events.csv,True
events.csv,city,Field from events.csv,True
events.csv,person_1_id,Field from events.csv,True
events.csv,person_2_id,Field from events.csv,True
events.csv,description,Field from events.csv,True
events.csv,source,Field from events.csv,True
events.csv,synthetic_status,Field from events.csv,True
