source_id,source_type,relationship,target_id,target_type,source_record_id,confidence
P001,PERSON,USES_PHONE,PH001,PHONE,PH001,1.0
P002,PERSON,USES_PHONE,PH002,PHONE,PH002,1.0
P003,PERSON,USES_PHONE,PH003,PHONE,PH003,1.0
P004,PERSON,USES_PHONE,PH004,PHONE,PH004,1.0
P005,PERSON,USES_PHONE,PH005,PHONE,PH005,1.0
P006,PERSON,USES_PHONE,PH006,PHONE,PH006,1.0
P007,PERSON,USES_PHONE,PH007,PHONE,PH007,1.0
P008,PERSON,USES_PHONE,PH008,PHONE,PH008,1.0
P009,PERSON,USES_PHONE,PH009,PHONE,PH009,1.0
P010,PERSON,USES_PHONE,PH010,PHONE,PH010,1.0
P011,PERSON,USES_PHONE,PH011,PHONE,PH011,1.0
P012,PERSON,USES_PHONE,PH012,PHONE,PH012,1.0
P013,PERSON,USES_PHONE,PH013,PHONE,PH013,1.0
P014,PERSON,USES_PHONE,PH014,PHONE,PH014,1.0
P015,PERSON,USES_PHONE,PH015,PHONE,PH015,1.0
P016,PERSON,USES_PHONE,PH016,PHONE,PH016,1.0
P017,PERSON,USES_PHONE,PH017,PHONE,PH017,1.0
P018,PERSON,USES_PHONE,PH018,PHONE,PH018,1.0
P019,PERSON,USES_PHONE,PH019,PHONE,PH019,1.0
P020,PERSON,USES_PHONE,PH020,PHONE,PH020,1.0
P021,PERSON,USES_PHONE,PH021,PHONE,PH021,1.0
P022,PERSON,USES_PHONE,PH022,PHONE,PH022,1.0
P023,PERSON,USES_PHONE,PH023,PHONE,PH023,1.0
P024,PERSON,USES_PHONE,PH024,PHONE,PH024,1.0
P025,PERSON,USES_PHONE,PH025,PHONE,PH025,1.0
P026,PERSON,USES_PHONE,PH026,PHONE,PH026,1.0
P027,PERSON,USES_PHONE,PH027,PHONE,PH027,1.0
P028,PERSON,USES_PHONE,PH028,PHONE,PH028,1.0
P029,PERSON,USES_PHONE,PH029,PHONE,PH029,1.0
P030,PERSON,USES_PHONE,PH030,PHONE,PH030,1.0
P031,PERSON,USES_PHONE,PH031,PHONE,PH031,1.0
P032,PERSON,USES_PHONE,PH032,PHONE,PH032,1.0
P033,PERSON,USES_PHONE,PH033,PHONE,PH033,1.0
P034,PERSON,USES_PHONE,PH034,PHONE,PH034,1.0
P035,PERSON,USES_PHONE,PH035,PHONE,PH035,1.0
P036,PERSON,USES_PHONE,PH036,PHONE,PH036,1.0
P037,PERSON,USES_PHONE,PH037,PHONE,PH037,1.0
P038,PERSON,USES_PHONE,PH038,PHONE,PH038,1.0
P039,PERSON,USES_PHONE,PH039,PHONE,PH039,1.0
P040,PERSON,USES_PHONE,PH040,PHONE,PH040,1.0
P041,PERSON,USES_PHONE,PH041,PHONE,PH041,1.0
P042,PERSON,USES_PHONE,PH042,PHONE,PH042,1.0
P043,PERSON,USES_PHONE,PH043,PHONE,PH043,1.0
P044,PERSON,USES_PHONE,PH044,PHONE,PH044,1.0
P045,PERSON,USES_PHONE,PH045,PHONE,PH045,1.0
P046,PERSON,USES_PHONE,PH046,PHONE,PH046,1.0
P047,PERSON,USES_PHONE,PH047,PHONE,PH047,1.0
P048,PERSON,USES_PHONE,PH048,PHONE,PH048,1.0
P049,PERSON,USES_PHONE,PH049,PHONE,PH049,1.0
P050,PERSON,USES_PHONE,PH050,PHONE,PH050,1.0
P051,PERSON,USES_PHONE,PH051,PHONE,PH051,1.0
P052,PERSON,USES_PHONE,PH052,PHONE,PH052,1.0
P053,PERSON,USES_PHONE,PH053,PHONE,PH053,1.0
P054,PERSON,USES_PHONE,PH054,PHONE,PH054,1.0
P055,PERSON,USES_PHONE,PH055,PHONE,PH055,1.0
P056,PERSON,USES_PHONE,PH056,PHONE,PH056,1.0
P057,PERSON,USES_PHONE,PH057,PHONE,PH057,1.0
P058,PERSON,USES_PHONE,PH058,PHONE,PH058,1.0
P059,PERSON,USES_PHONE,PH059,PHONE,PH059,1.0
P060,PERSON,USES_PHONE,PH060,PHONE,PH060,1.0
P001,PERSON,OWNS_ACCOUNT,ACC001,ACCOUNT,ACC001,1.0
P003,PERSON,OWNS_ACCOUNT,ACC002,ACCOUNT,ACC002,1.0
P005,PERSON,OWNS_ACCOUNT,ACC003,ACCOUNT,ACC003,1.0
P007,PERSON,OWNS_ACCOUNT,ACC004,ACCOUNT,ACC004,1.0
P009,PERSON,OWNS_ACCOUNT,ACC005,ACCOUNT,ACC005,1.0
P011,PERSON,OWNS_ACCOUNT,ACC006,ACCOUNT,ACC006,1.0
P013,PERSON,OWNS_ACCOUNT,ACC007,ACCOUNT,ACC007,1.0
P015,PERSON,OWNS_ACCOUNT,ACC008,ACCOUNT,ACC008,1.0
P017,PERSON,OWNS_ACCOUNT,ACC009,ACCOUNT,ACC009,1.0
P019,PERSON,OWNS_ACCOUNT,ACC010,ACCOUNT,ACC010,1.0
P021,PERSON,OWNS_ACCOUNT,ACC011,ACCOUNT,ACC011,1.0
P023,PERSON,OWNS_ACCOUNT,ACC012,ACCOUNT,ACC012,1.0
P025,PERSON,OWNS_ACCOUNT,ACC013,ACCOUNT,ACC013,1.0
P027,PERSON,OWNS_ACCOUNT,ACC014,ACCOUNT,ACC014,1.0
P029,PERSON,OWNS_ACCOUNT,ACC015,ACCOUNT,ACC015,1.0
P031,PERSON,OWNS_ACCOUNT,ACC016,ACCOUNT,ACC016,1.0
P033,PERSON,OWNS_ACCOUNT,ACC017,ACCOUNT,ACC017,1.0
P035,PERSON,OWNS_ACCOUNT,ACC018,ACCOUNT,ACC018,1.0
P037,PERSON,OWNS_ACCOUNT,ACC019,ACCOUNT,ACC019,1.0
P039,PERSON,OWNS_ACCOUNT,ACC020,ACCOUNT,ACC020,1.0
P041,PERSON,OWNS_ACCOUNT,ACC021,ACCOUNT,ACC021,1.0
P043,PERSON,OWNS_ACCOUNT,ACC022,ACCOUNT,ACC022,1.0
P045,PERSON,OWNS_ACCOUNT,ACC023,ACCOUNT,ACC023,1.0
P047,PERSON,OWNS_ACCOUNT,ACC024,ACCOUNT,ACC024,1.0
P049,PERSON,OWNS_ACCOUNT,ACC025,ACCOUNT,ACC025,1.0
P051,PERSON,OWNS_ACCOUNT,ACC026,ACCOUNT,ACC026,1.0
P053,PERSON,OWNS_ACCOUNT,ACC027,ACCOUNT,ACC027,1.0
P055,PERSON,OWNS_ACCOUNT,ACC028,ACCOUNT,ACC028,1.0
P057,PERSON,OWNS_ACCOUNT,ACC029,ACCOUNT,ACC029,1.0
P059,PERSON,OWNS_ACCOUNT,ACC030,ACCOUNT,ACC030,1.0
P061,PERSON,OWNS_ACCOUNT,ACC031,ACCOUNT,ACC031,1.0
P063,PERSON,OWNS_ACCOUNT,ACC032,ACCOUNT,ACC032,1.0
P065,PERSON,OWNS_ACCOUNT,ACC033,ACCOUNT,ACC033,1.0
P067,PERSON,OWNS_ACCOUNT,ACC034,ACCOUNT,ACC034,1.0
P069,PERSON,OWNS_ACCOUNT,ACC035,ACCOUNT,ACC035,1.0
P071,PERSON,OWNS_ACCOUNT,ACC036,ACCOUNT,ACC036,1.0
P073,PERSON,OWNS_ACCOUNT,ACC037,ACCOUNT,ACC037,1.0
P075,PERSON,OWNS_ACCOUNT,ACC038,ACCOUNT,ACC038,1.0
P077,PERSON,OWNS_ACCOUNT,ACC039,ACCOUNT,ACC039,1.0
P079,PERSON,OWNS_ACCOUNT,ACC040,ACCOUNT,ACC040,1.0
P002,PERSON,OWNS_VEHICLE,VH001,VEHICLE,VH001,1.0
P005,PERSON,OWNS_VEHICLE,VH002,VEHICLE,VH002,1.0
P008,PERSON,OWNS_VEHICLE,VH003,VEHICLE,VH003,1.0
P011,PERSON,OWNS_VEHICLE,VH004,VEHICLE,VH004,1.0
P014,PERSON,OWNS_VEHICLE,VH005,VEHICLE,VH005,1.0
P017,PERSON,OWNS_VEHICLE,VH006,VEHICLE,VH006,1.0
P020,PERSON,OWNS_VEHICLE,VH007,VEHICLE,VH007,1.0
P023,PERSON,OWNS_VEHICLE,VH008,VEHICLE,VH008,1.0
P026,PERSON,OWNS_VEHICLE,VH009,VEHICLE,VH009,1.0
P029,PERSON,OWNS_VEHICLE,VH010,VEHICLE,VH010,1.0
P032,PERSON,OWNS_VEHICLE,VH011,VEHICLE,VH011,1.0
P035,PERSON,OWNS_VEHICLE,VH012,VEHICLE,VH012,1.0
P038,PERSON,OWNS_VEHICLE,VH013,VEHICLE,VH013,1.0
P041,PERSON,OWNS_VEHICLE,VH014,VEHICLE,VH014,1.0
P044,PERSON,OWNS_VEHICLE,VH015,VEHICLE,VH015,1.0
P047,PERSON,OWNS_VEHICLE,VH016,VEHICLE,VH016,1.0
P050,PERSON,OWNS_VEHICLE,VH017,VEHICLE,VH017,1.0
P053,PERSON,OWNS_VEHICLE,VH018,VEHICLE,VH018,1.0
P056,PERSON,OWNS_VEHICLE,VH019,VEHICLE,VH019,1.0
P059,PERSON,OWNS_VEHICLE,VH020,VEHICLE,VH020,1.0
P062,PERSON,OWNS_VEHICLE,VH021,VEHICLE,VH021,1.0
P065,PERSON,OWNS_VEHICLE,VH022,VEHICLE,VH022,1.0
P068,PERSON,OWNS_VEHICLE,VH023,VEHICLE,VH023,1.0
P071,PERSON,OWNS_VEHICLE,VH024,VEHICLE,VH024,1.0
P074,PERSON,OWNS_VEHICLE,VH025,VEHICLE,VH025,1.0
P077,PERSON,OWNS_VEHICLE,VH026,VEHICLE,VH026,1.0
P080,PERSON,OWNS_VEHICLE,VH027,VEHICLE,VH027,1.0
P083,PERSON,OWNS_VEHICLE,VH028,VEHICLE,VH028,1.0
P086,PERSON,OWNS_VEHICLE,VH029,VEHICLE,VH029,1.0
P089,PERSON,OWNS_VEHICLE,VH030,VEHICLE,VH030,1.0
P092,PERSON,OWNS_VEHICLE,VH031,VEHICLE,VH031,1.0
P095,PERSON,OWNS_VEHICLE,VH032,VEHICLE,VH032,1.0
P098,PERSON,OWNS_VEHICLE,VH033,VEHICLE,VH033,1.0
P001,PERSON,OWNS_VEHICLE,VH034,VEHICLE,VH034,1.0
P004,PERSON,OWNS_VEHICLE,VH035,VEHICLE,VH035,1.0
P007,PERSON,OWNS_VEHICLE,VH036,VEHICLE,VH036,1.0
P010,PERSON,OWNS_VEHICLE,VH037,VEHICLE,VH037,1.0
P013,PERSON,OWNS_VEHICLE,VH038,VEHICLE,VH038,1.0
P016,PERSON,OWNS_VEHICLE,VH039,VEHICLE,VH039,1.0
P019,PERSON,OWNS_VEHICLE,VH040,VEHICLE,VH040,1.0
P075,PERSON,CALLS,P082,PERSON,CALL0001,0.98
P066,PERSON,CALLS,P069,PERSON,CALL0002,0.98
P055,PERSON,CALLS,P049,PERSON,CALL0003,0.98
P068,PERSON,CALLS,P066,PERSON,CALL0004,0.98
P056,PERSON,CALLS,P055,PERSON,CALL0005,0.98
P032,PERSON,CALLS,P025,PERSON,CALL0006,0.98
P029,PERSON,CALLS,P036,PERSON,CALL0007,0.98
P011,PERSON,CALLS,P004,PERSON,CALL0008,0.98
P019,PERSON,CALLS,P022,PERSON,CALL0009,0.98
P046,PERSON,CALLS,P040,PERSON,CALL0010,0.98
P010,PERSON,CALLS,P009,PERSON,CALL0011,0.98
P093,PERSON,CALLS,P100,PERSON,CALL0012,0.98
P038,PERSON,CALLS,P041,PERSON,CALL0013,0.98
P053,PERSON,CALLS,P060,PERSON,CALL0014,0.98
