phone_id,phone_token,person_id,device_id,provider,synthetic_status
PH001,SYNTH-PHONE-0001,P001,D001,Provider-B,SYNTHETIC
PH002,SYNTH-PHONE-0002,P002,D002,Provider-C,SYNTHETIC
PH003,SYNTH-PHONE-0003,P003,D003,Provider-A,SYNTHETIC
PH004,SYNTH-PHONE-0004,P004,D004,Provider-B,SYNTHETIC
PH005,SYNTH-PHONE-0005,P005,D005,Provider-C,SYNTHETIC
PH006,SYNTH-PHONE-0006,P006,D006,Provider-A,SYNTHETIC
PH007,SYNTH-PHONE-0007,P007,D007,Provider-B,SYNTHETIC
PH008,SYNTH-PHONE-0008,P008,D008,Provider-C,SYNTHETIC
PH009,SYNTH-PHONE-0009,P009,D009,Provider-A,SYNTHETIC
PH010,SYNTH-PHONE-0010,P010,D010,Provider-B,SYNTHETIC
PH011,SYNTH-PHONE-0011,P011,D011,Provider-C,SYNTHETIC
PH012,SYNTH-PHONE-0012,P012,D012,Provider-A,SYNTHETIC
PH013,SYNTH-PHONE-0013,P013,D013,Provider-B,SYNTHETIC
PH014,SYNTH-PHONE-0014,P014,D014,Provider-C,SYNTHETIC
PH015,SYNTH-PHONE-0015,P015,D015,Provider-A,SYNTHETIC
PH016,SYNTH-PHONE-0016,P016,D016,Provider-B,SYNTHETIC
PH017,SYNTH-PHONE-0017,P017,D017,Provider-C,SYNTHETIC
PH018,SYNTH-PHONE-0018,P018,D018,Provider-A,SYNTHETIC
PH019,SYNTH-PHONE-0019,P019,D019,Provider-B,SYNTHETIC
PH020,SYNTH-PHONE-0020,P020,D020,Provider-C,SYNTHETIC
PH021,SYNTH-PHONE-0021,P021,D021,Provider-A,SYNTHETIC
PH022,SYNTH-PHONE-0022,P022,D022,Provider-B,SYNTHETIC
PH023,SYNTH-PHONE-0023,P023,D023,Provider-C,SYNTHETIC
PH024,SYNTH-PHONE-0024,P024,D024,Provider-A,SYNTHETIC
PH025,SYNTH-PHONE-0025,P025,D025,Provider-B,SYNTHETIC
PH026,SYNTH-PHONE-0026,P026,D026,Provider-C,SYNTHETIC
PH027,SYNTH-PHONE-0027,P027,D027,Provider-A,SYNTHETIC
PH028,SYNTH-PHONE-0028,P028,D028,Provider-B,SYNTHETIC
PH029,SYNTH-PHONE-0029,P029,D029,Provider-C,SYNTHETIC
PH030,SYNTH-PHONE-0030,P030,D030,Provider-A,SYNTHETIC
PH031,SYNTH-PHONE-0031,P031,D031,Provider-B,SYNTHETIC
PH032,SYNTH-PHONE-0032,P032,D032,Provider-C,SYNTHETIC
PH033,SYNTH-PHONE-0033,P033,D033,Provider-A,SYNTHETIC
PH034,SYNTH-PHONE-0034,P034,D034,Provider-B,SYNTHETIC
PH035,SYNTH-PHONE-0035,P035,D035,Provider-C,SYNTHETIC
PH036,SYNTH-PHONE-0036,P036,D036,Provider-A,SYNTHETIC
PH037,SYNTH-PHONE-0037,P037,D037,Provider-B,SYNTHETIC
PH038,SYNTH-PHONE-0038,P038,D038,Provider-C,SYNTHETIC
PH039,SYNTH-PHONE-0039,P039,D039,Provider-A,SYNTHETIC
PH040,SYNTH-PHONE-0040,P040,D040,Provider-B,SYNTHETIC
PH041,SYNTH-PHONE-0041,P041,D041,Provider-C,SYNTHETIC
PH042,SYNTH-PHONE-0042,P042,D042,Provider-A,SYNTHETIC
PH043,SYNTH-PHONE-0043,P043,D043,Provider-B,SYNTHETIC
PH044,SYNTH-PHONE-0044,P044,D044,Provider-C,SYNTHETIC
PH045,SYNTH-PHONE-0045,P045,D045,Provider-A,SYNTHETIC
PH046,SYNTH-PHONE-0046,P046,D046,Provider-B,SYNTHETIC
PH047,SYNTH-PHONE-0047,P047,D047,Provider-C,SYNTHETIC
PH048,SYNTH-PHONE-0048,P048,D048,Provider-A,SYNTHETIC
PH049,SYNTH-PHONE-0049,P049,D049,Provider-B,SYNTHETIC
PH050,SYNTH-PHONE-0050,P050,D050,Provider-C,SYNTHETIC
PH051,SYNTH-PHONE-0051,P051,D001,Provider-A,SYNTHETIC
PH052,SYNTH-PHONE-0052,P052,D002,Provider-B,SYNTHETIC
PH053,SYNTH-PHONE-0053,P053,D003,Provider-C,SYNTHETIC
PH054,SYNTH-PHONE-0054,P054,D004,Provider-A,SYNTHETIC
PH055,SYNTH-PHONE-0055,P055,D005,Provider-B,SYNTHETIC
PH056,SYNTH-PHONE-0056,P056,D006,Provider-C,SYNTHETIC
PH057,SYNTH-PHONE-0057,P057,D007,Provider-A,SYNTHETIC
PH058,SYNTH-PHONE-0058,P058,D008,Provider-B,SYNTHETIC
PH059,SYNTH-PHONE-0059,P059,D009,Provider-C,SYNTHETIC
PH060,SYNTH-PHONE-0060,P060,D010,Provider-A,SYNTHETIC
