transaction_id,sender_account_id,receiver_account_id,amount_inr,timestamp,transaction_type,source,synthetic_status
TXN0001,ACC024,ACC002,622195,2026-06-16 09:05:00,Bank Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0002,ACC019,ACC029,745478,2026-06-13 12:58:00,Wallet Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0003,ACC019,ACC013,406448,2026-06-01 12:30:00,UPI,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0004,ACC037,ACC030,706445,2026-06-16 10:23:00,Bank Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0005,ACC040,ACC002,793092,2026-06-20 12:46:00,Wallet Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0006,ACC034,ACC002,109181,2026-06-19 21:01:00,UPI,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0007,ACC027,ACC006,590360,2026-06-18 10:40:00,Bank Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0008,ACC036,ACC035,40664,2026-06-07 12:27:00,Wallet Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0009,ACC006,ACC035,702439,2026-06-23 11:00:00,UPI,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0010,ACC037,ACC012,595798,2026-06-26 09:00:00,Bank Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0011,ACC001,ACC007,60717,2026-06-23 16:58:00,Wallet Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0012,ACC033,ACC039,226119,2026-06-09 20:14:00,UPI,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0013,ACC003,ACC027,723853,2026-06-28 21:07:00,Bank Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0014,ACC031,ACC034,632836,2026-06-23 19:26:00,Wallet Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0015,ACC002,ACC019,193577,2026-06-04 10:41:00,UPI,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0016,ACC021,ACC022,674491,2026-06-16 17:05:00,Bank Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0017,ACC035,ACC018,152363,2026-06-23 18:03:00,Wallet Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0018,ACC008,ACC001,254621,2026-06-03 18:31:00,UPI,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0019,ACC040,ACC030,556216,2026-06-15 09:04:00,Bank Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0020,ACC025,ACC001,52480,2026-06-07 20:27:00,Wallet Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0021,ACC029,ACC017,168218,2026-06-11 10:46:00,UPI,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0022,ACC008,ACC016,882324,2026-06-17 14:32:00,Bank Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0023,ACC032,ACC011,578221,2026-06-25 16:26:00,Wallet Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
