vehicle_id,registration_token,owner_person_id,vehicle_type,color,synthetic_status
VH001,SYNTH-REG-0001,P002,Sedan,Black,SYNTHETIC
VH002,SYNTH-REG-0002,P005,SUV,Silver,SYNTHETIC
VH003,SYNTH-REG-0003,P008,Motorcycle,Blue,SYNTHETIC
VH004,SYNTH-REG-0004,P011,Hatchback,White,SYNTHETIC
VH005,SYNTH-REG-0005,P014,Sedan,Black,SYNTHETIC
VH006,SYNTH-REG-0006,P017,SUV,Silver,SYNTHETIC
VH007,SYNTH-REG-0007,P020,Motorcycle,Blue,SYNTHETIC
VH008,SYNTH-REG-0008,P023,Hatchback,White,SYNTHETIC
VH009,SYNTH-REG-0009,P026,Sedan,Black,SYNTHETIC
VH010,SYNTH-REG-0010,P029,SUV,Silver,SYNTHETIC
VH011,SYNTH-REG-0011,P032,Motorcycle,Blue,SYNTHETIC
VH012,SYNTH-REG-0012,P035,Hatchback,White,SYNTHETIC
VH013,SYNTH-REG-0013,P038,Sedan,Black,SYNTHETIC
VH014,SYNTH-REG-0014,P041,SUV,Silver,SYNTHETIC
VH015,SYNTH-REG-0015,P044,Motorcycle,Blue,SYNTHETIC
VH016,SYNTH-REG-0016,P047,Hatchback,White,SYNTHETIC
VH017,SYNTH-REG-0017,P050,Sedan,Black,SYNTHETIC
VH018,SYNTH-REG-0018,P053,SUV,Silver,SYNTHETIC
VH019,SYNTH-REG-0019,P056,Motorcycle,Blue,SYNTHETIC
VH020,SYNTH-REG-0020,P059,Hatchback,White,SYNTHETIC
VH021,SYNTH-REG-0021,P062,Sedan,Black,SYNTHETIC
VH022,SYNTH-REG-0022,P065,SUV,Silver,SYNTHETIC
VH023,SYNTH-REG-0023,P068,Motorcycle,Blue,SYNTHETIC
VH024,SYNTH-REG-0024,P071,Hatchback,White,SYNTHETIC
VH025,SYNTH-REG-0025,P074,Sedan,Black,SYNTHETIC
VH026,SYNTH-REG-0026,P077,SUV,Silver,SYNTHETIC
VH027,SYNTH-REG-0027,P080,Motorcycle,Blue,SYNTHETIC
VH028,SYNTH-REG-0028,P083,Hatchback,White,SYNTHETIC
VH029,SYNTH-REG-0029,P086,Sedan,Black,SYNTHETIC
VH030,SYNTH-REG-0030,P089,SUV,Silver,SYNTHETIC
VH031,SYNTH-REG-0031,P092,Motorcycle,Blue,SYNTHETIC
VH032,SYNTH-REG-0032,P095,Hatchback,White,SYNTHETIC
VH033,SYNTH-REG-0033,P098,Sedan,Black,SYNTHETIC
VH034,SYNTH-REG-0034,P001,SUV,Silver,SYNTHETIC
VH035,SYNTH-REG-0035,P004,Motorcycle,Blue,SYNTHETIC
VH036,SYNTH-REG-0036,P007,Hatchback,White,SYNTHETIC
VH037,SYNTH-REG-0037,P010,Sedan,Black,SYNTHETIC
VH038,SYNTH-REG-0038,P013,SUV,Silver,SYNTHETIC
VH039,SYNTH-REG-0039,P016,Motorcycle,Blue,SYNTHETIC
VH040,SYNTH-REG-0040,P019,Hatchback,White,SYNTHETIC
